tool,trial,crash_id,cat,bug,loc,desc,exp,num_reports,min_asyncs_in_log,max_programs_from_end_of_log_to_asyncs
sect_pos,1,c34d1bbeac0e46a9296ceb76d20d231534bcdc5f,SYZFATAL,,,SYZFATAL: executor NUM failed NUM times: failed to create temp dir: mkdir ./syzkaller-testdirNUM: no space left on devic,cover_eval_cp,1,,
sect_pos,1,e9f5b11984c54cecb386b92bb20c76d5d003719f,OTHER,,,no output from test machine,cover_eval_cp,0,,
sect_pos,1,4a5eb99ffff5749ea30d65b6652bb2ca9ce59b6c,BUG,unable to handle kernel paging request,put_cmsg,BUG: unable to handle kernel paging request in put_cmsg,cover_eval_cp,1,,
sect_pos,1,910e3195261654c617977513fc7cef18d9dde9bd,WARNING,,format_decode,WARNING in format_decode,cover_eval_cp,3,,
sect_pos,1,a0e28bdf8d48370fcc10e1f8ea4365b0c187eebe,BUG,soft lockup,hsr_announce,BUG: soft lockup in hsr_announce,cover_eval_cp,2,,
sect_pos,1,14692319382598dac4dee0cca30dcdf451cb5eb7,WARNING,,rate_control_rate_init,WARNING in rate_control_rate_init,cover_eval_cp,32,,
sect_pos,1,7d33415bcabecf4cf43ca84afdf7e5be4b545a3a,INFO,task hung,nf_ct_iterate_cleanup,INFO: task hung in nf_ct_iterate_cleanup,cover_eval_cp,1,,
sect_pos,1,a452f0e64788cc908f0eebdc7cdf2c97d97d3c3b,INFO,task hung,lookup_slow,INFO: task hung in lookup_slow,cover_eval_cp,1,,
sect_pos,1,f7f424f89ff5d010aefc0ae8cfeeb1186bcfd0da,INFO,task hung,vcs_open,INFO: task hung in vcs_open,cover_eval_cp,1,,
sect_pos,1,66cd5b9b3e5519d9a31ee5746f4ef404859d99d0,WARNING,,dup_task_struct,WARNING in dup_task_struct,cover_eval_cp,2,,
sect_pos,1,aac06202f00169294688682e50daecc9c98a831b,BUG,soft lockup,ieee80211_handle_queued_frames,BUG: soft lockup in ieee80211_handle_queued_frames,cover_eval_cp,6,,
